Male - Midstream Urine - 11580,Female - Midstream Urine - 26344,Male - Indwelling Catheter - 5383,Female - Indwelling Catheter - 4677,Male - Intermittent Catheter - 4269,Female - Intermittent Catheter - 4828
28.78,18.75,37.36,36.78,30.86,33.32
28.81,18.76,37.36,36.84,30.92,33.34
28.85,18.79,37.37706,36.85,30.93557,33.34
28.89,18.79,37.44,36.88,30.94,33.37
28.9,18.79,37.61,36.93,30.95,33.42
28.93,18.8,37.65,36.93,30.95,33.43
28.94,18.8,37.72,36.94,31.028,33.462
29.05,18.81,37.83667,36.94,31.04,33.475
29.06,18.81,37.87815,36.97,31.04,33.629
29.08,18.81,38.02,36.97,31.07256,33.64
29.13,18.82,38.08,36.98,31.08,33.65
29.14,18.84,38.09,36.99,31.08,33.66
29.2,18.84,38.11,37,31.09,33.74
29.23,18.85,38.16574,37.02,31.122,33.747
29.27,18.86,38.19,37.06,31.15,33.75
29.27,18.87,38.19639,37.19,31.18,33.75
29.32,18.87,38.2,37.2,31.2,33.99
29.33,18.88,38.20413,37.29,31.25,34.05
29.36,18.88,38.21,37.29,31.25,34.06
29.36,18.89,38.25618,37.37,31.25394,34.12
29.42,18.9,38.4,37.42,31.29,34.24
29.45,18.9,38.4,37.43,31.295,34.26
29.53,18.9,38.4,37.44,31.3,34.28
29.53,18.91,38.43,37.5,31.32188,34.28
29.59,18.92,38.46168,37.52,31.33,34.31
29.68,18.92,38.52,37.53,31.34,34.37
29.75,18.92,38.59,37.53,31.35,34.4
29.78,18.92,38.61,37.54,31.355,34.40135
29.82,18.93,38.69,37.56,31.38,34.41
29.85941,18.93,38.7,37.57,31.4,34.45
29.86,18.93,38.74,37.58,31.45,34.46
29.87,18.94,38.81779,37.62,31.453,34.495
29.89,18.95,38.87,37.62892,31.47,34.58
29.89175,18.95,38.89,37.63,31.47815,34.66
29.96,18.96,38.89,37.63,31.49,34.68
29.96,18.96,38.89,37.71,31.522,34.69
29.98,18.97,39.07,37.75,31.58,34.7
30.05,18.97,39.12,37.77943,31.6,34.79
30.06,18.99,39.21224,37.83,31.607,34.8
30.07,19,39.23,37.9,31.61233,34.807
30.12,19,39.31,37.91,31.64,34.8183
30.13,19.01,39.31919,37.93,31.66165,34.84262
30.13,19.02,39.36,37.96,31.694,34.85908
30.22,19.02,39.44,37.98,31.69777,34.91
30.22,19.02,39.52798,38.01,31.74,34.93
30.24,19.03,39.7,38.08953,31.74,34.98
30.35,19.03,39.77,38.13064,31.74928,35.032
30.39,19.04,39.77,38.14109,31.752,35.11
30.47,19.04,39.79,38.24,31.78,35.11
30.58,19.05,39.85,38.3,31.79,35.14
30.59,19.05,39.88,38.35,31.86,35.20709
30.61,19.06,39.91,38.47,31.9,35.26
30.61,19.06,39.95,38.5,31.92,35.28
30.66,19.07,39.95,38.51,31.922,35.29
30.75,19.08,39.96,38.53,31.94,35.36
30.75,19.08,39.98,38.54,31.97,35.368
30.75,19.09,40,38.57,31.98,35.37
30.76,19.1,40.01,38.58,32.03,35.40692
30.78,19.1,40.01,38.65,32.045,35.41
30.79,19.1,40.02,38.66,32.07312,35.42
30.79,19.109,40.02,38.66,32.09,35.54707
30.8,19.11,40.04,38.72,32.1,35.56
30.8,19.12,40.08,38.79,32.17,35.63
30.86,19.12,40.09,38.88,32.21,35.67
30.88,19.13,40.11,38.98,32.267,35.67
30.89,19.13,40.19041,39,32.303,35.68
30.93,19.14,40.29,39,32.31,35.74
30.96,19.14,40.3,39.02,32.34,35.82
30.99,19.15,40.31,39.06,32.377,35.87
31,19.15,40.48,39.12,32.49,36
31.01,19.15,40.51,39.15,32.5,36.03
31.05,19.15,40.61,39.2,32.61,36.14
31.08,19.15,40.62,39.48,32.61,36.15
31.09,19.16,40.63,39.49,32.631,36.171
31.1,19.16,40.66,39.55,32.634,36.20136
31.14,19.16,40.67,39.58,32.664,36.22
31.15,19.16,40.69,39.59,32.67,36.22
31.15,19.16,40.71,39.62,32.68356,36.27
31.22,19.16,40.71,39.65,32.71,36.363
31.23,19.17,40.74,39.65,32.72,36.4
31.25,19.18,40.75,39.65,32.73,36.42
31.27,19.19,40.75,39.66,32.74,36.44
31.28,19.2,40.8,39.67,32.768,36.47
31.28,19.22,40.81,39.68077,32.77,36.48
31.29,19.22,40.84525,39.68867,32.77,36.50544
31.32,19.22,40.86,39.69,32.796,36.63
31.32,19.23,40.86,39.69,32.8,36.64
31.32,19.23,40.86,39.7,32.815,36.68
31.33,19.24,41,39.70032,32.82,36.72
31.33,19.24,41.03,39.74,32.86,36.728
31.35,19.25,41.05,39.75,32.87,36.75
31.37,19.26,41.15,39.77,32.87804,36.779
